density,coh,fric,height,angle,factor
17,10,15,10,25,1.254
17,10,20,10,25,1.516
17,10,25,10,25,1.786
17,10,30,10,25,2.076
17,10,35,10,25,2.387
17,10,40,10,25,2.737
17,10,45,10,25,3.135
17,10,50,10,25,3.599
17,20,15,10,25,1.724
17,20,20,10,25,2.016
17,20,25,10,25,2.309
17,20,30,10,25,2.625
17,20,35,10,25,2.625
17,20,40,10,25,3.325
17,20,45,10,25,3.749
17,20,50,10,25,4.247
17,50,15,10,25,3.012
17,50,20,10,25,3.337
17,50,25,10,25,3.674
17,50,30,10,25,4.028
17,50,35,10,25,4.403
17,50,40,10,25,4.828
17,50,45,10,25,5.298
17,50,50,10,25,5.848
17,100,15,10,25,5.068
17,100,20,10,25,5.419
17,100,25,10,25,5.786
17,100,30,10,25,6.166
17,100,35,10,25,6.582
17,100,40,10,25,7.039
17,100,45,10,25,7.57
17,100,50,10,25,8.169
17,200,15,10,25,9.114
17,200,20,10,25,9.491
17,200,25,10,25,9.875
17,200,30,10,25,10.292
17,200,35,10,25,10.292
17,200,40,10,25,11.236
17,200,45,10,25,11.802
17,200,50,10,25,12.458
17,300,15,10,25,13.143
17,300,20,10,25,13.521
17,300,25,10,25,13.926
17,300,30,10,25,14.354
17,300,35,10,25,14.815
17,300,40,10,25,15.337
17,300,45,10,25,15.93
17,300,50,10,25,16.615
17,400,15,10,25,17.174
17,400,20,10,25,17.551
17,400,25,10,25,17.953
17,400,30,10,25,18.392
17,400,35,10,25,18.878
17,400,40,10,25,19.399
17,400,45,10,25,20.002
17,400,50,10,25,20.002
17,500,15,10,25,21.206
17,500,20,10,25,21.581
17,500,25,10,25,21.983
17,500,30,10,25,22.42
17,500,35,10,25,22.905
17,500,40,10,25,23.454
17,500,45,10,25,24.065
17,500,50,10,25,24.784
17,600,15,10,25,25.237
17,600,20,10,25,25.613
17,600,25,10,25,26.013
17,600,30,10,25,26.449
17,600,35,10,25,26.933
17,600,40,10,25,27.481
17,600,45,10,25,27.481
17,600,50,10,25,28.847
20,10,15,10,25,1.178
20,10,20,10,25,1.433
20,10,25,10,25,1.702
20,10,30,10,25,1.984
20,10,35,10,25,2.293
20,10,40,10,25,2.639
20,10,45,10,25,2.639
20,10,50,10,25,3.484
20,20,15,10,25,1.588
20,20,20,10,25,1.87
20,20,25,10,25,2.163
20,20,30,10,25,2.468
20,20,35,10,25,2.792
20,20,40,10,25,3.158
20,20,45,10,25,3.577
20,20,50,10,25,4.062
20,50,15,10,25,2.698
20,50,20,10,25,3.016
20,50,25,10,25,3.349
20,50,30,10,25,3.349
20,50,35,10,25,4.064
20,50,40,10,25,4.472
20,50,45,10,25,4.472
20,50,50,10,25,5.481
20,100,15,10,25,4.459
20,100,20,10,25,4.802
20,100,25,10,25,5.157
20,100,30,10,25,5.536
20,100,35,10,25,5.941
20,100,40,10,25,6.399
20,100,45,10,25,6.904
20,100,50,10,25,7.49
20,200,15,10,25,7.906
20,200,20,10,25,8.272
20,200,25,10,25,8.656
20,200,30,10,25,9.065
20,200,35,10,25,9.504
20,200,40,10,25,9.995
20,200,45,10,25,10.545
20,200,50,10,25,11.194
20,300,15,10,25,11.33
20,300,20,10,25,11.709
20,300,25,10,25,12.11
20,300,30,10,25,12.526
20,300,35,10,25,12.987
20,300,40,10,25,13.501
20,300,45,10,25,14.076
20,300,50,10,25,14.763
20,400,15,10,25,14.756
20,400,20,10,25,15.133
20,400,25,10,25,15.536
20,400,30,10,25,15.976
20,400,35,10,25,16.44
20,400,40,10,25,16.961
20,400,45,10,25,17.566
20,400,50,10,25,17.566
20,500,15,10,25,18.182
20,500,20,10,25,18.558
20,500,25,10,25,18.961
20,500,30,10,25,19.399
20,500,35,10,25,19.885
20,500,40,10,25,20.415
20,500,45,10,25,21.018
20,500,50,10,25,21.738
20,600,15,10,25,21.609
20,600,20,10,25,21.984
20,600,25,10,25,22.386
20,600,30,10,25,22.823
20,600,35,10,25,23.308
20,600,40,10,25,23.857
20,600,45,10,25,24.471
20,600,50,10,25,25.191
23,10,15,10,25,1.118
23,10,20,10,25,1.37
23,10,25,10,25,1.635
23,10,30,10,25,1.915
23,10,35,10,25,2.222
23,10,40,10,25,2.561
23,10,45,10,25,2.943
23,10,50,10,25,3.396
23,20,15,10,25,1.487
23,20,20,10,25,1.762
23,20,25,10,25,2.049
23,20,30,10,25,2.345
23,20,35,10,25,2.668
23,20,40,10,25,3.033
23,20,45,10,25,3.44
23,20,50,10,25,3.924
23,50,15,10,25,2.463
23,50,20,10,25,2.779
23,50,25,10,25,3.098
23,50,30,10,25,3.438
23,50,35,10,25,3.804
23,50,40,10,25,4.202
23,50,45,10,25,4.664
23,50,50,10,25,5.195
23,100,15,10,25,4.002
23,100,20,10,25,4.343
23,100,25,10,25,4.693
23,100,30,10,25,5.062
23,100,35,10,25,5.467
23,100,40,10,25,5.91
23,100,45,10,25,6.402
23,100,50,10,25,6.989
23,200,15,10,25,7.011
23,200,20,10,25,7.371
23,200,25,10,25,7.755
23,200,30,10,25,8.152
23,200,35,10,25,8.591
23,200,40,10,25,9.065
23,200,45,10,25,9.614
23,200,50,10,25,9.614
23,300,15,10,25,9.99
23,300,20,10,25,10.369
23,300,25,10,25,10.758
23,300,30,10,25,11.175
23,300,35,10,25,11.635
23,300,40,10,25,12.131
23,300,45,10,25,12.707
23,300,50,10,25,13.369
23,400,15,10,25,12.968
23,400,20,10,25,13.346
23,400,25,10,25,13.751
23,400,30,10,25,13.751
23,400,35,10,25,14.638
23,400,40,10,25,15.16
23,400,45,10,25,15.751
23,400,50,10,25,16.436
23,500,15,10,25,15.947
23,500,20,10,25,16.324
23,500,25,10,25,16.727
23,500,30,10,25,17.166
23,500,35,10,25,17.166
23,500,40,10,25,18.162
23,500,45,10,25,18.766
23,500,50,10,25,19.48
23,600,15,10,25,18.927
23,600,20,10,25,19.303
23,600,25,10,25,19.705
23,600,30,10,25,20.143
23,600,35,10,25,20.629
23,600,40,10,25,21.166
23,600,45,10,25,21.166
23,600,50,10,25,22.489
26,10,15,10,25,1.07
26,10,20,10,25,1.323
26,10,25,10,25,1.582
26,10,30,10,25,1.862
26,10,35,10,25,2.163
26,10,40,10,25,2.496
26,10,45,10,25,2.876
26,10,50,10,25,3.329
26,20,15,10,25,1.404
26,20,20,10,25,1.679
26,20,25,10,25,1.957
26,20,30,10,25,2.25
26,20,35,10,25,2.573
26,20,40,10,25,2.928
26,20,45,10,25,3.334
26,20,50,10,25,3.816
26,50,15,10,25,2.28
26,50,20,10,25,2.592
26,50,25,10,25,2.905
26,50,30,10,25,2.905
26,50,35,10,25,3.597
26,50,40,10,25,3.995
26,50,45,10,25,4.446
26,50,50,10,25,4.961
26,100,15,10,25,3.651
26,100,20,10,25,3.985
26,100,25,10,25,4.331
26,100,30,10,25,4.697
26,100,35,10,25,5.099
26,100,40,10,25,5.524
26,100,45,10,25,6.016
26,100,50,10,25,6.596
26,200,15,10,25,6.318
26,200,20,10,25,6.678
26,200,25,10,25,6.678
26,200,30,10,25,7.45
26,200,35,10,25,7.875
26,200,40,10,25,8.351
26,200,45,10,25,8.885
26,200,50,10,25,9.517
26,300,15,10,25,8.959
26,300,20,10,25,9.335
26,300,25,10,25,9.718
26,300,30,10,25,10.136
26,300,35,10,25,10.581
26,300,40,10,25,11.078
26,300,45,10,25,11.641
26,300,50,10,25,12.297
26,400,15,10,25,11.593
26,400,20,10,25,11.972
26,400,25,10,25,12.375
26,400,30,10,25,12.791
26,400,35,10,25,13.253
26,400,40,10,25,13.771
26,400,45,10,25,14.345
26,400,50,10,25,15.032
26,500,15,10,25,14.228
26,500,20,10,25,14.606
26,500,25,10,25,15.01
26,500,30,10,25,15.449
26,500,35,10,25,15.909
26,500,40,10,25,16.43
26,500,45,10,25,17.035
26,500,50,10,25,17.724
26,600,15,10,25,16.864
26,600,20,10,25,17.241
26,600,25,10,25,17.644
26,600,30,10,25,18.082
26,600,35,10,25,18.566
26,600,40,10,25,19.086
26,600,45,10,25,19.69
26,600,50,10,25,20.411
29,10,15,10,25,1.032
29,10,20,10,25,1.281
29,10,25,10,25,1.54
29,10,30,10,25,1.816
29,10,35,10,25,2.113
29,10,40,10,25,2.443
29,10,45,10,25,2.823
29,10,50,10,25,3.276
29,20,15,10,25,1.338
29,20,20,10,25,1.609
29,20,25,10,25,1.882
29,20,30,10,25,2.174
29,20,35,10,25,2.493
29,20,40,10,25,2.845
29,20,45,10,25,3.25
29,20,50,10,25,3.723
29,50,15,10,25,2.136
29,50,20,10,25,2.439
29,50,25,10,25,2.752
29,50,30,10,25,3.08
29,50,35,10,25,3.432
29,50,40,10,25,3.827
29,50,45,10,25,4.268
29,50,50,10,25,4.773
29,100,15,10,25,3.372
29,100,20,10,25,3.702
29,100,25,10,25,4.042
29,100,30,10,25,4.408
29,100,35,10,25,4.793
29,100,40,10,25,5.218
29,100,45,10,25,5.71
29,100,50,10,25,6.267
29,200,15,10,25,6.267
29,200,20,10,25,6.129
29,200,25,10,25,6.495
29,200,30,10,25,6.888
29,200,35,10,25,7.309
29,200,40,10,25,7.776
29,200,45,10,25,7.776
29,200,50,10,25,8.939
29,300,15,10,25,8.142
29,300,20,10,25,8.51
29,300,25,10,25,8.894
29,300,30,10,25,9.306
29,300,35,10,25,9.745
29,300,40,10,25,10.241
29,300,45,10,25,10.791
29,300,50,10,25,11.445
29,400,15,10,25,10.503
29,400,20,10,25,10.882
29,400,25,10,25,11.276
29,400,30,10,25,11.692
29,400,35,10,25,11.692
29,400,40,10,25,12.656
29,400,45,10,25,13.232
29,400,50,10,25,13.903
29,500,15,10,25,12.865
29,500,20,10,25,13.243
29,500,25,10,25,13.648
29,500,30,10,25,14.074
29,500,35,10,25,14.535
29,500,40,10,25,15.057
29,500,45,10,25,15.646
29,500,50,10,25,16.331
29,600,15,10,25,15.228
29,600,20,10,25,15.605
29,600,25,10,25,16.009
29,600,30,10,25,16.448
29,600,35,10,25,16.916
29,600,40,10,25,17.437
29,600,45,10,25,18.042
29,600,50,10,25,18.745
32,10,15,10,25,1.002
32,10,20,10,25,1.248
32,10,25,10,25,1.506
32,10,30,10,25,1.778
32,10,35,10,25,2.071
32,10,40,10,25,2.4
32,10,45,10,25,2.78
32,10,50,10,25,3.232
32,20,15,10,25,1.285
32,20,20,10,25,1.551
32,20,25,10,25,1.821
32,20,30,10,25,2.113
32,20,35,10,25,2.425
32,20,40,10,25,2.425
32,20,45,10,25,3.178
32,20,50,10,25,3.647
32,50,15,10,25,2.018
32,50,20,10,25,2.315
32,50,25,10,25,2.628
32,50,30,10,25,2.947
32,50,35,10,25,3.299
32,50,40,10,25,3.685
32,50,45,10,25,3.685
32,50,50,10,25,4.62
32,100,15,10,25,3.143
32,100,20,10,25,3.47
32,100,25,10,25,3.807
32,100,30,10,25,4.169
32,100,35,10,25,4.545
32,100,40,10,25,4.97
32,100,45,10,25,5.45
32,100,50,10,25,6
32,200,15,10,25,5.322
32,200,20,10,25,5.677
32,200,25,10,25,6.043
32,200,30,10,25,6.428
32,200,35,10,25,6.848
32,200,40,10,25,7.307
32,200,45,10,25,7.837
32,200,50,10,25,8.452
32,300,15,10,25,7.478
32,300,20,10,25,7.84
32,300,25,10,25,8.225
32,300,30,10,25,8.627
32,300,35,10,25,9.067
32,300,40,10,25,9.549
32,300,45,10,25,10.1
32,300,50,10,25,10.739
32,400,15,10,25,10.739
32,400,20,10,25,9.997
32,400,25,10,25,10.383
32,400,30,10,25,10.8
32,400,35,10,25,11.255
32,400,40,10,25,11.751
32,400,45,10,25,12.327
32,400,50,10,25,12.982
32,500,15,10,25,11.758
32,500,20,10,25,12.137
32,500,25,10,25,12.541
32,500,30,10,25,12.957
32,500,35,10,25,13.419
32,500,40,10,25,13.939
32,500,45,10,25,14.514
32,500,50,10,25,15.2
32,600,15,10,25,13.899
32,600,20,10,25,14.277
32,600,25,10,25,14.681
32,600,30,10,25,15.116
32,600,35,10,25,15.576
32,600,40,10,25,16.098
32,600,45,10,25,16.702
32,600,50,10,25,17.387
17,10,15,10,30,1.108
17,10,20,10,30,1.327
17,10,25,10,30,1.327
17,10,30,10,30,1.796
17,10,35,10,30,2.056
17,10,40,10,30,2.345
17,10,45,10,30,2.673
17,10,50,10,30,3.051
17,20,15,10,30,1.559
17,20,20,10,30,1.802
17,20,25,10,30,2.051
17,20,30,10,30,2.31
17,20,35,10,30,2.591
17,20,40,10,30,2.908
17,20,45,10,30,3.259
17,20,50,10,30,3.672
17,50,15,10,30,2.8
17,50,20,10,30,3.082
17,50,25,10,30,3.36
17,50,30,10,30,3.657
17,50,35,10,30,3.975
17,50,40,10,30,4.327
17,50,45,10,30,4.327
17,50,50,10,30,5.191
17,100,15,10,30,4.807
17,100,20,10,30,5.097
17,100,25,10,30,5.396
17,100,30,10,30,5.721
17,100,35,10,30,6.082
17,100,40,10,30,6.469
